,,,,,,,,70,78,86,90
,"0,0130497915636","0,0129430950848","0,0127163215414","0,0123366976803","0,0117275196525","0,01077265049","0,0091907543704","0,00689149387641","0,005042646456","0,00407824525267","0,00324271853088"
O3O3P,"8,87492253878E-05","8,69749598627E-05","8,29119414252E-05","7,5558211305E-05","6,44917835811E-05","5,21010923066E-05","3,9896257093E-05","2,75217435993E-05","1,61440570222E-05","1,32389071248E-05","9,60888729902E-06"
ALD,"3,33230304762E-05","3,25001331145E-05","3,05717672014E-05","2,72084653195E-05","2,23195034264E-05","1,75064332265E-05","1,31494235858E-05","8,91010102603E-06","4,87296696046E-06","4,07420350853E-06","2,91244315575E-06"
ACT,"3,75547195316E-06","3,61571002395E-06","3,29097672669E-06","2,74387373951E-06","2,01173986658E-06","1,41824964269E-06","9,89407156589E-07","6,2274695207E-07","2,60195228334E-07","2,30611023504E-07","1,5242377144E-07"
MEK,"2,32093955185E-05","2,26237546174E-05","2,12507568559E-05","1,88562103681E-05","1,5380988836E-05","1,19876061992E-05","8,96003531048E-06","6,04282985557E-06","3,25603580835E-06","2,72662817995E-06","1,93833262079E-06"
MVK,"1,61227800537E-06","1,58741100065E-06","1,53019559307E-06","1,43025943835E-06","1,27595395188E-06","1,08988232083E-06","8,71600529844E-07","6,24106108372E-07","4,00411868931E-07","3,28778613126E-07","2,48406780778E-07"
UALD,"2,09640387339E-05","2,07371123447E-05","2,02323265505E-05","1,93649684226E-05","1,79812589194E-05","1,60391372575E-05","1,32944974806E-05","9,77963145998E-06","6,76708598677E-06","5,5123367377E-06","4,28552458957E-06"
GLYHO2,"0,0001053156717","0,00010415472616","0,00010155068797","9,70650173989E-05","9,00484603473E-05","8,07463122522E-05","6,80330096601E-05","5,05569941867E-05","3,62574450215E-05","2,91494970304E-05","2,30528059593E-05"
GLYH2,"1,1656185061E-05","1,1437650911E-05","1,09291391165E-05","1,00375908012E-05","8,68963860251E-06","7,1933974868E-06","5,61656305013E-06","3,94227817381E-06","2,39169961835E-06","1,97474435579E-06","1,4620544345E-06"
GLYHCHO,"5,05455820331E-05","4,97388215748E-05","4,78763893509E-05","4,46128929966E-05","3,95885378642E-05","3,36475165586E-05","2,68456905218E-05","1,91777059537E-05","1,2253741199E-05","1,0053894894E-05","7,59130375779E-06"
BALD,"6,0995133298E-05","6,03113413586E-05","5,87883579025E-05","5,61777852076E-05","5,2034081345E-05","4,6287776632E-05","3,82686311955E-05","2,81028011667E-05","1,93449895132E-05","1,57685841854E-05","1,22336279921E-05"
PANNO2,"9,31954465734E-07","9,13822558319E-07","8,63482364989E-07","7,76606369073E-07","6,49115641963E-07","5,22030803626E-07","4,00326331994E-07","2,76790530857E-07","1,61794224612E-07","1,34425763949E-07","9,8867939468E-08"
PANNO3,"6,0119399718E-07","5,88552594962E-07","5,57097064146E-07","5,02766912066E-07","4,23317846864E-07","3,42599012665E-07","2,63862108901E-07","1,83051446859E-07","1,07748059449E-07","8,94267215588E-08","6,58030958103E-08"
