(fort10_06b) UCI J-v8.4 (4/06) JPL026+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
O3_CS  298 2.554E-19 3.959E-19 4.311E-19 3.700E-19 3.433E-19 4.770E-19
           6.567E-19 9.328E-19 8.934E-18 3.642E-18 1.634E-18 8.527E-19
           2.841E-19 1.057E-19 4.531E-20 6.651E-21 5.880E-23 1.611E-21
O3_CS  300 2.554E-19 3.959E-19 4.311E-19 3.700E-19 3.433E-19 4.770E-19
           6.567E-19 9.328E-19 8.934E-18 3.642E-18 1.634E-18 8.527E-19
           2.841E-19 1.057E-19 4.531E-20 6.651E-21 5.880E-23 1.611E-21
O3O1D  218 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 4.070E-01 9.637E-02 8.000E-02 1.000E-02 1.000E-02
O3O1D  298 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 
           9.000E-01 5.200E-01 2.300E-01 8.000E-02 1.000E-02 1.000E-02
O3O1D  300 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 
           9.000E-01 5.200E-01 2.300E-01 8.000E-02 1.000E-02 1.000E-02
O3O3P  218 1.312E-21 4.605E-21 1.052E-20 1.743E-20 3.301E-20 4.778E-20
           6.597E-20 9.320E-20 8.806E-19 3.535E-19 1.555E-19 7.865E-20
           2.660E-20 4.716E-20 3.389E-20 4.595E-21 5.468E-28 0.000E+00
O3O3P  298 2.554E-20 3.959E-20 4.311E-20 3.700E-20 3.433E-20 4.770E-20
           6.567E-20 9.328E-20 8.934E-19 3.642E-19 1.634E-19 8.527E-20
           2.969E-20 4.592E-20 3.461E-20 5.884E-21 1.002E-27 0.000E+00
ACRO   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 4.453E-21 1.061E-20 1.503E-20 2.124E-20
           3.147E-20 4.089E-20 4.836E-20 5.749E-20 1.182E-20 0.000E+00
ACRO   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 4.453E-21 1.061E-20 1.503E-20 2.124E-20
           3.147E-20 4.089E-20 4.836E-20 5.749E-20 1.182E-20 0.000E+00
ALD    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 9.259E-21 2.066E-20 2.109E-20 1.952E-20
           1.314E-20 7.403E-21 2.683E-21 1.150E-22 0.000E+00 0.000E+00
ALD    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 9.259E-21 2.066E-20 2.109E-20 1.952E-20
           1.314E-20 7.403E-21 2.683E-21 1.150E-22 0.000E+00 0.000E+00
GLYform298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.914E-22 2.199E-22
GLYform298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.914E-22 2.199E-22
GLYmol 297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 6.833E-21 1.009E-20 1.174E-20 1.333E-20
           1.238E-20 1.117E-20 8.335E-21 2.625E-21 0.000E+00 0.000E+00
GLYmol 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 6.833E-21 1.009E-20 1.174E-20 1.333E-20
           1.238E-20 1.117E-20 8.335E-21 2.625E-21 0.000E+00 0.000E+00
H2O2   200 2.120E-19 4.214E-19 4.925E-19 5.431E-19 4.449E-19 3.760E-19
           3.459E-19 3.196E-19 5.333E-20 4.860E-20 3.421E-20 8.360E-21
           5.008E-21 3.220E-21 2.115E-21 7.984E-22 2.101E-23 0.000E+00
H2O2   300 2.046E-19 4.066E-19 4.752E-19 5.241E-19 4.293E-19 3.628E-19
           3.338E-19 3.083E-19 5.466E-20 4.902E-20 3.437E-20 9.300E-21
           5.735E-21 3.803E-21 2.583E-21 1.046E-21 2.715E-23 0.000E+00
HCHOmol223 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           6.397E-21 4.443E-21 9.027E-21 1.040E-20 1.960E-22 0.000E+00
HCHOmol293 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           6.086E-21 4.543E-21 8.717E-21 9.424E-21 1.903E-22 0.000E+00
HCHOrad223 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           1.945E-20 1.289E-20 1.969E-20 4.324E-21 5.105E-26 0.000E+00
HCHOrad293 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           1.850E-20 1.317E-20 1.895E-20 3.922E-21 4.467E-26 0.000E+00
HNO3   200 7.671E-18 1.061E-17 1.043E-17 8.241E-18 3.790E-18 1.301E-18
           6.914E-19 5.036E-19 1.629E-20 1.796E-20 1.854E-20 3.396E-21
           1.377E-21 5.474E-22 2.100E-22 2.131E-23 8.822E-26 0.000E+00
HNO3   300 7.781E-18 1.091E-17 1.090E-17 9.123E-18 4.474E-18 1.565E-18
           8.458E-19 5.886E-19 1.875E-20 2.165E-20 2.305E-20 4.384E-21
           1.923E-21 8.345E-22 3.586E-22 4.720E-23 2.683E-25 0.000E+00
HNO4   297 3.105E-18 6.120E-18 6.954E-18 7.486E-18 4.751E-18 2.866E-18
           2.220E-18 1.840E-18 2.806E-19 2.208E-19 1.538E-19 2.601E-20
           1.103E-20 5.239E-21 2.793E-21 2.250E-22 0.000E+00 4.792E-23
HNO4   298 3.105E-18 6.120E-18 6.954E-18 7.486E-18 4.751E-18 2.866E-18
           2.220E-18 1.840E-18 2.806E-19 2.208E-19 1.538E-19 2.601E-20
           1.103E-20 5.239E-21 2.793E-21 2.250E-22 0.000E+00 4.792E-23
HONO   297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 1.175E-20 3.470E-20 1.093E-19 8.764E-20 0.000E+00
HONO   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 1.175E-20 3.470E-20 1.093E-19 8.764E-20 0.000E+00
HOP    297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           2.746E-19 2.438E-19 2.745E-20 2.778E-20 2.214E-20 5.621E-21
           3.573E-21 2.441E-21 1.755E-21 7.405E-22 4.261E-23 0.000E+00
HOP    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           2.746E-19 2.438E-19 2.745E-20 2.778E-20 2.214E-20 5.621E-21
           3.573E-21 2.441E-21 1.755E-21 7.405E-22 4.261E-23 0.000E+00
KETONE 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 2.869E-21 3.609E-21 3.070E-21
           2.065E-21 1.111E-21 4.513E-22 2.404E-23 0.000E+00 0.000E+00
KETONE 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 2.869E-21 3.609E-21 3.070E-21
           2.065E-21 1.111E-21 4.513E-22 2.404E-23 0.000E+00 0.000E+00
MGLY   297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.483E-20 4.131E-20 4.375E-20 4.384E-20
           3.465E-20 2.428E-20 1.788E-20 6.194E-21 2.237E-20 1.435E-21
MGLY  298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.483E-20 4.131E-20 4.375E-20 4.384E-20
           3.465E-20 2.428E-20 1.788E-20 6.194E-21 2.237E-20 1.435E-21
MHP    297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           2.746E-19 2.438E-19 2.745E-20 2.778E-20 2.214E-20 5.621E-21
           3.573E-21 2.441E-21 1.755E-21 7.405E-22 4.261E-23 0.000E+00
MHP    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           2.746E-19 2.438E-19 2.745E-20 2.778E-20 2.214E-20 5.621E-21
           3.573E-21 2.441E-21 1.755E-21 7.405E-22 4.261E-23 0.000E+00
NO2    220 0.000E+00 0.000E+00 5.112E-21 0.000E+00 1.845E-19 3.942E-19
           4.317E-19 4.464E-19 3.127E-20 1.011E-19 1.155E-19 1.053E-19
           1.476E-19 1.878E-19 2.280E-19 3.257E-19 4.420E-19 1.968E-22
NO2    298 0.000E+00 0.000E+00 5.040E-21 0.000E+00 1.828E-19 4.053E-19
           4.544E-19 4.748E-19 3.376E-20 1.042E-19 1.171E-19 1.052E-19
           1.493E-19 1.885E-19 2.281E-19 3.455E-19 4.612E-19 3.691E-22
NO3NO2 297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.266E-19
NO3NO2 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.266E-19
NO3NO  298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.508E-20
NO3NO  298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.508E-20
ORGNIT 240 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 2.337E-20 1.004E-20 6.638E-21 4.679E-21
           2.022E-21 9.381E-22 3.730E-22 3.755E-23 0.000E+00 0.000E+00
ORGNIT 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 2.788E-20 1.233E-20 8.359E-21 6.029E-21
           2.735E-21 1.346E-21 5.734E-22 6.957E-23 0.000E+00 0.000E+00
PAA    298 2.889E-20 6.246E-20 8.298E-20 1.213E-19 1.199E-19 1.005E-19
           9.156E-20 8.309E-20 1.415E-20 1.238E-20 8.809E-21 2.250E-21
           1.491E-21 1.029E-21 6.586E-22 2.630E-22 5.323E-24 0.000E+00
PAA    298 2.889E-20 6.246E-20 8.298E-20 1.213E-19 1.199E-19 1.005E-19
           9.156E-20 8.309E-20 1.415E-20 1.238E-20 8.809E-21 2.250E-21
           1.491E-21 1.029E-21 6.586E-22 2.630E-22 5.323E-24 0.000E+00
UDC    298 4.690E-20 7.190E-20 7.900E-20 7.900E-20 7.900E-20 7.900E-20
           7.900E-20 7.900E-20 7.900E-20 7.900E-20 7.900E-20 7.900E-20
           7.900E-20 7.900E-20 7.900E-20 7.900E-20 6.628E-21 0.000E+00
UDC    298 4.690E-20 7.190E-20 7.900E-20 7.900E-20 7.900E-20 7.900E-20
           7.900E-20 7.900E-20 7.900E-20 7.900E-20 7.900E-20 7.900E-20
           7.900E-20 7.900E-20 7.900E-20 7.900E-20 6.628E-21 0.000E+00
PAN    298 3.672E-21 1.213E-20 2.582E-20 4.386E-20 6.302E-20 4.715E-20
           3.853E-20 3.062E-20 2.027E-21 2.362E-21 2.029E-21 1.043E-22
           4.360E-23 2.101E-23 1.155E-23 3.089E-24 2.779E-26 0.000E+00
PAN    298 3.672E-21 1.213E-20 2.582E-20 4.386E-20 6.302E-20 4.715E-20
           3.853E-20 3.062E-20 2.027E-21 2.362E-21 2.029E-21 1.043E-22
           4.360E-23 2.101E-23 1.155E-23 3.089E-24 2.779E-26 0.000E+00
N2O5   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           8.072E-16 7.637E-16 7.072E-17 6.984E-17 6.263E-17 1.608E-17
           1.026E-17 6.945E-18 4.966E-18 2.093E-18 2.208E-19 0.000E+00
N2O5   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           8.072E-16 7.637E-16 7.072E-17 6.984E-17 6.263E-17 1.608E-17
           1.026E-17 6.945E-18 4.966E-18 2.093E-18 2.208E-19 0.000E+00
C2CHO  298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.538E-18
           1.408E-17 1.114E-17 7.754E-18 1.919E-18 0.000E+00 0.000E+00
C2CHO  298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.538E-18
           1.408E-17 1.114E-17 7.754E-18 1.919E-18 0.000E+00 0.000E+00
PACD   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.230E-22
           4.281E-22 2.460E-22 1.547E-22 4.658E-23 4.131E-24 0.000E+00
PACD   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.230E-22
           4.281E-22 2.460E-22 1.547E-22 4.658E-23 4.131E-24 0.000E+00
