(fort10_06b) UCI J-v8.4 (4/06) JPL026+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
NO3NO  298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.676E-20
NO3NO2 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.172E-21 7.690E-19
NO3NO2 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 4.172E-21 7.690E-19
H2O2   298 1.717E-19 3.475E-19 4.098E-19 5.431E-19 4.452E-19 3.761E-19
           3.459E-19 3.180E-19 5.492E-20 4.795E-20 3.437E-20 9.376E-21
           5.775E-21 3.912E-21 2.727E-21 1.143E-21 3.600E-23 0.000E+00
H2O2   298 1.717E-19 3.475E-19 4.098E-19 5.431E-19 4.452E-19 3.761E-19
           3.459E-19 3.180E-19 5.492E-20 4.795E-20 3.437E-20 9.376E-21
           5.775E-21 3.912E-21 2.727E-21 1.143E-21 3.600E-23 0.000E+00
HCHOmol 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.365E-21 6.054E-21 6.357E-21 7.512E-21
           8.092E-21 3.924E-21 8.578E-21 9.848E-21 2.670E-22 0.000E+00
HCHOmol 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.365E-21 6.054E-21 6.357E-21 7.512E-21
           8.092E-21 3.924E-21 8.578E-21 9.848E-21 2.670E-22 0.000E+00
HCHOrad 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.244E-21 1.084E-20 1.527E-20 2.116E-20
           2.552E-20 1.109E-20 1.754E-20 8.489E-21 2.670E-22 0.000E+00
HCHOrad 298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 3.244E-21 1.084E-20 1.527E-20 2.116E-20
           2.552E-20 1.109E-20 1.754E-20 8.489E-21 2.670E-22 0.000E+00
ACD    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 9.238E-21 2.131E-20 2.337E-20 2.172E-20
           1.437E-20 8.085E-21 3.246E-21 2.201E-22 0.000E+00 0.000E+00
ACD    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 9.238E-21 2.131E-20 2.337E-20 2.172E-20
           1.437E-20 8.085E-21 3.246E-21 2.201E-22 0.000E+00 0.000E+00
ALD    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 2.249E-20 4.044E-20 4.622E-20 4.899E-20
           3.750E-20 2.115E-20 1.081E-20 1.314E-21 0.000E+00 0.000E+00
ALD    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
