Time,Temperature,Pressure,RelativeHumidity,SpecificHumidity	
15638400.000000,299.034747,1.01325e05,0.809156,0.0
15642000.000000,299.008228,1.01325e05,0.808147,0.0
15645600.000000,298.976378,1.01325e05,0.806987,0.0
15649200.000000,298.944526,1.01325e05,0.805882,0.0
15652800.000000,298.968426,1.01325e05,0.801343,0.0
15656400.000000,298.997386,1.01325e05,0.796527,0.0
15660000.000000,299.026340,1.01325e05,0.791749,0.0
15663600.000000,299.136929,1.01325e05,0.785672,0.0
15667200.000000,299.254927,1.01325e05,0.779609,0.0
15670800.000000,299.372923,1.01325e05,0.773685,0.0
15674400.000000,299.508127,1.01325e05,0.767671,0.0
15678000.000000,299.644888,1.01325e05,0.761733,0.0
15681600.000000,299.781647,1.01325e05,0.755887,0.0
15685200.000000,299.877891,1.01325e05,0.756149,0.0
15688800.000000,299.970453,1.01325e05,0.756982,0.0
15692400.000000,300.062991,1.01325e05,0.757838,0.0
15696000.000000,299.968902,1.01325e05,0.766470,0.0
15699600.000000,299.857841,1.01325e05,0.775917,0.0
15703200.000000,299.746772,1.01325e05,0.785480,0.0
15706800.000000,299.654497,1.01325e05,0.792241,0.0
15710400.000000,299.563930,1.01325e05,0.798828,0.0
15714000.000000,299.473345,1.01325e05,0.805508,0.0
15717600.000000,299.416471,1.01325e05,0.806663,0.0
15721200.000000,299.362659,1.01325e05,0.807377,0.0
15724800.000000,299.034747,1.01325e05,0.809156,0.0
15728400.000000,299.008228,1.01325e05,0.808147,0.0
15732000.000000,298.976378,1.01325e05,0.806987,0.0
15735600.000000,298.944526,1.01325e05,0.805882,0.0
15739200.000000,298.968426,1.01325e05,0.801343,0.0
15742800.000000,298.997386,1.01325e05,0.796527,0.0
15746400.000000,299.026340,1.01325e05,0.791749,0.0
15750000.000000,299.136929,1.01325e05,0.785672,0.0
15753600.000000,299.254927,1.01325e05,0.779609,0.0
15757200.000000,299.372923,1.01325e05,0.773685,0.0
15760800.000000,299.508127,1.01325e05,0.767671,0.0
15764400.000000,299.644888,1.01325e05,0.761733,0.0
15768000.000000,299.781647,1.01325e05,0.755887,0.0
15771600.000000,299.877891,1.01325e05,0.756149,0.0
15775200.000000,299.970453,1.01325e05,0.756982,0.0
15778800.000000,300.062991,1.01325e05,0.757838,0.0
15782400.000000,299.968902,1.01325e05,0.766470,0.0
15786000.000000,299.857841,1.01325e05,0.775917,0.0
15789600.000000,299.746772,1.01325e05,0.785480,0.0
15793200.000000,299.654497,1.01325e05,0.792241,0.0
15796800.000000,299.563930,1.01325e05,0.798828,0.0
15800400.000000,299.473345,1.01325e05,0.805508,0.0
15804000.000000,299.416471,1.01325e05,0.806663,0.0
15807600.000000,299.362659,1.01325e05,0.807377,0.0
15811200.000000,299.034747,1.01325e05,0.809156,0.0
15814800.000000,299.008228,1.01325e05,0.808147,0.0
15818400.000000,298.976378,1.01325e05,0.806987,0.0
15822000.000000,298.944526,1.01325e05,0.805882,0.0
15825600.000000,298.968426,1.01325e05,0.801343,0.0
15829200.000000,298.997386,1.01325e05,0.796527,0.0
15832800.000000,299.026340,1.01325e05,0.791749,0.0
15836400.000000,299.136929,1.01325e05,0.785672,0.0
15840000.000000,299.254927,1.01325e05,0.779609,0.0
15843600.000000,299.372923,1.01325e05,0.773685,0.0
15847200.000000,299.508127,1.01325e05,0.767671,0.0
15850800.000000,299.644888,1.01325e05,0.761733,0.0
15854400.000000,299.781647,1.01325e05,0.755887,0.0
15858000.000000,299.877891,1.01325e05,0.756149,0.0
15861600.000000,299.970453,1.01325e05,0.756982,0.0
15865200.000000,300.062991,1.01325e05,0.757838,0.0
15868800.000000,299.968902,1.01325e05,0.766470,0.0
15872400.000000,299.857841,1.01325e05,0.775917,0.0
15876000.000000,299.746772,1.01325e05,0.785480,0.0
15879600.000000,299.654497,1.01325e05,0.792241,0.0
15883200.000000,299.563930,1.01325e05,0.798828,0.0
15886800.000000,299.473345,1.01325e05,0.805508,0.0
15890400.000000,299.416471,1.01325e05,0.806663,0.0
15894000.000000,299.362659,1.01325e05,0.807377,0.0
15897600.000000,299.034747,1.01325e05,0.809156,0.0
15901200.000000,299.008228,1.01325e05,0.808147,0.0
15904800.000000,298.976378,1.01325e05,0.806987,0.0
15908400.000000,298.944526,1.01325e05,0.805882,0.0
15912000.000000,298.968426,1.01325e05,0.801343,0.0
15915600.000000,298.997386,1.01325e05,0.796527,0.0
15919200.000000,299.026340,1.01325e05,0.791749,0.0
15922800.000000,299.136929,1.01325e05,0.785672,0.0
15926400.000000,299.254927,1.01325e05,0.779609,0.0
15930000.000000,299.372923,1.01325e05,0.773685,0.0
15933600.000000,299.508127,1.01325e05,0.767671,0.0
15937200.000000,299.644888,1.01325e05,0.761733,0.0
15940800.000000,299.781647,1.01325e05,0.755887,0.0
15944400.000000,299.877891,1.01325e05,0.756149,0.0
15948000.000000,299.970453,1.01325e05,0.756982,0.0
15951600.000000,300.062991,1.01325e05,0.757838,0.0
15955200.000000,299.968902,1.01325e05,0.766470,0.0
15958800.000000,299.857841,1.01325e05,0.775917,0.0
15962400.000000,299.746772,1.01325e05,0.785480,0.0
15966000.000000,299.654497,1.01325e05,0.792241,0.0
15969600.000000,299.563930,1.01325e05,0.798828,0.0
15973200.000000,299.473345,1.01325e05,0.805508,0.0
15976800.000000,299.416471,1.01325e05,0.806663,0.0
15980400.000000,299.362659,1.01325e05,0.807377,0.0
15984000.000000,299.034747,1.01325e05,0.809156,0.0
15987600.000000,299.008228,1.01325e05,0.808147,0.0
15991200.000000,298.976378,1.01325e05,0.806987,0.0
15994800.000000,298.944526,1.01325e05,0.805882,0.0
15998400.000000,298.968426,1.01325e05,0.801343,0.0
16002000.000000,298.997386,1.01325e05,0.796527,0.0
16005600.000000,299.026340,1.01325e05,0.791749,0.0
16009200.000000,299.136929,1.01325e05,0.785672,0.0
16012800.000000,299.254927,1.01325e05,0.779609,0.0
16016400.000000,299.372923,1.01325e05,0.773685,0.0
16020000.000000,299.508127,1.01325e05,0.767671,0.0
16023600.000000,299.644888,1.01325e05,0.761733,0.0
16027200.000000,299.781647,1.01325e05,0.755887,0.0
16030800.000000,299.877891,1.01325e05,0.756149,0.0
16034400.000000,299.970453,1.01325e05,0.756982,0.0
16038000.000000,300.062991,1.01325e05,0.757838,0.0
16041600.000000,299.968902,1.01325e05,0.766470,0.0
16045200.000000,299.857841,1.01325e05,0.775917,0.0
16048800.000000,299.746772,1.01325e05,0.785480,0.0
16052400.000000,299.654497,1.01325e05,0.792241,0.0
16056000.000000,299.563930,1.01325e05,0.798828,0.0
16059600.000000,299.473345,1.01325e05,0.805508,0.0
16063200.000000,299.416471,1.01325e05,0.806663,0.0
16066800.000000,299.362659,1.01325e05,0.807377,0.0
16070400.000000,299.034747,1.01325e05,0.809156,0.0
16074000.000000,299.008228,1.01325e05,0.808147,0.0
16077600.000000,298.976378,1.01325e05,0.806987,0.0
16081200.000000,298.944526,1.01325e05,0.805882,0.0
16084800.000000,298.968426,1.01325e05,0.801343,0.0
16088400.000000,298.997386,1.01325e05,0.796527,0.0
16092000.000000,299.026340,1.01325e05,0.791749,0.0
16095600.000000,299.136929,1.01325e05,0.785672,0.0
16099200.000000,299.254927,1.01325e05,0.779609,0.0
16102800.000000,299.372923,1.01325e05,0.773685,0.0
16106400.000000,299.508127,1.01325e05,0.767671,0.0
16110000.000000,299.644888,1.01325e05,0.761733,0.0
16113600.000000,299.781647,1.01325e05,0.755887,0.0
16117200.000000,299.877891,1.01325e05,0.756149,0.0
16120800.000000,299.970453,1.01325e05,0.756982,0.0
16124400.000000,300.062991,1.01325e05,0.757838,0.0
16128000.000000,299.968902,1.01325e05,0.766470,0.0
16131600.000000,299.857841,1.01325e05,0.775917,0.0
16135200.000000,299.746772,1.01325e05,0.785480,0.0
16138800.000000,299.654497,1.01325e05,0.792241,0.0
16142400.000000,299.563930,1.01325e05,0.798828,0.0
16146000.000000,299.473345,1.01325e05,0.805508,0.0
16149600.000000,299.416471,1.01325e05,0.806663,0.0
16153200.000000,299.362659,1.01325e05,0.807377,0.0
