# init gas conc
HC8	11.
PAR	101.
OLE	1.
TOL	6.
CRES    1.
PAN     5.
XYL	6.
FORM	6.
ALD2	2.
ETH	2.
ETHA	3.
ETOH    5.
MEOH    15.
ISPD    2.
IOLE	0.4
ALDX	1.
POAlP	0.4
POAmP	1.5
POAhP	2.6
ISOP    15.
NH3	4
NO2	52.
NO      0.3
API	6.
BPI	6.
LIM	3.
HUM	1.
NAPH	1
