# init gas conc of nh3, no3, cl, so4 (µg.m-3) COND
HC8   3.458200636
PAR	94.97705086
OLE	51.32610359
TOL	19.57845635
XYL	12.75408282
FORM	18.23220635
ALD2	1.434320875
ETH	1.145974394
ETHA	0.6570692306
IOLE	1.143676364
ALDX	5.816192683
POAlP	0.9798453067
POAmP	5.815856017
POAhP	7.807154444
NH3     5.
NO2 77.55
API    14.
BPI    14.
LIM    8.
HUM    1.
NAPH   3.
