# Name Type group ID	MW       Precursor   coll_fac        mole_diam       surf_tens accomod  mass_dens non-volatile  partitioning  smiles psat_torr  dHvap	Henry	Tref
PMD	1    5    	28.0    --           1.000D10        1.000D10        0.D0      1.0     2.33D-06	    0           --            -       0.        0.      0.      0.
PBC	2    4	        12.0    --           1.000D10        1.000D10        0.D0      1.0     2.25D-06     0           --            -       0.         0.     0.      0.
PNA	3    1	        23.0    --           1.000D10        1.000D10        0.D0      1.0     0.97D-06	    0           --            -       0.         0.     0.      0.
PSO4	3    1        	98.0    SULF         77.3d0          5.5d0           80.D-03   1.0    1.84D-06      1           --            -       0.         0.     0.      0.
PNH4	3    1         	17.0	NH3          558.3d0         2.9d0           80.D-03   1.0    0.91D-06      0           --            -       0.         0.     0.      0.
PNO3	3    1	        63.0    HNO3         475.9d0         3.3d0           80.D-03   1.0    1.50D-06      0           --            -       0.         0.     0.      0.
PHCL	3    1	        36.5	HCL          344.7d0         3.339d0         80.D-03   1.0    1.15D-06      0           --            -       0.         0.     0.      0.
PAR0128	4	1	169.0	AR0128	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	3.083e-5	97.01	0.0	298
PAR0124	4	1	172.0	AR0124	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	5.365e-4	87.74	0.0	298
PPH5002	4	1	225.0	PH5002	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	1.289e-6	115.66	0.0	298
PAR0110	4	1	190.0	AR0110	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	4.446e-6	110.53	0.0	298
PAR0048	4	1	134.0	AR0048	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	1.596e-5	102.14	0.0	298
PAR0115	4	1	190.0	AR0115	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	8.105e-6	109.69	0.0	298
PAR0153	4	1	251.0	AR0153	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	2.00e-10	159.39	0.0	298
PAR0094	4	1	174.0	AR0094	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	4.529e-4	89.49	0.0	298
PPH5004	4	1	241.0	PH5004	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	2.021e-9	146.86	0.0	298
PPP4000	4	1	272.0	PP4000	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	3.008e-7	122.40	0.0	298
PPH5000	4	1	225.0	PH5000	687.d0	8.39d0	30.D-03	0.7	1.30D-06	0	--	-	1.863e-6	114.13	0.0	298
