# This file is automatically generated by combine_files.py.
WAR0106 172.1
WAR0107 156.1
WAR0109 219.2
WAR0110 190.2
WAR0010 100.1
WAR0124 172.1
WAR0038 177.1
WAR0039 132.1
WUD4000 84.1
WUD6000 128.1
WUD5000 98.1
WUD5001 98.1
WMALAHY 98.1
WPU5002 175.1
WPH5002 225.1
WPH5004 241.1
WPU5000 175.1
WPH5000 225.1
WGU5002 130.1
WGH5002 180.1
WAU5002 114.1
WPD5002 223.1
WPP4000 272.1
WDK3000 72.1
WDD2000 58.0
WDK4000 102.1
WAR0040 116.1
WDD3001 86.1
WD02000 44.1
WPU5001 175.1
WAK3000 88.1
WHD5001 148.1
WHD5000 148.1
WPK5001 207.1
WCH2O   30.1
WPK5003 223.1
WPP4004 270.1
WP02000 121.1
WNTOL   137.1
WUD5002 114.1
WAU5000 114.1
WAU4000 100.1
WAD2000 74.1
WAR0140OOH 172.1
WMBQN1K1OH 154.1
WC73K1OHOOH 188.1
WDD5002 130.1
WMBQN1OH 138.1
WTOL3OH 140.1
WMBQN2OH 154.1
WTOL4OH 156.1
WMBQN3OH 170.1
WTOL5OH 172.1
WTOL3OH1NO2 185.1
WTOL2OHOOH 156.1
WTOL4OH1NO2 201.1
WTOL3OHOOH 172.1
WBTOL3OHOOH 206.1
WAD5000 130.1
WDK5000 130.1
WAD4000 116.1
WAA2000 90.1
WBTOL4OHOOH 222.1
WAD4001 132.1
WAK5000 146.1
WBTOL5OHOOH 238.1
WAA4000 148.1
WUU7000 124.2
WUD7000 156.1
WA02000 60.1
WAU7000 172.1
WAU6000 142.1
WDD3000 88.1
WDK4001 100.1
WBZALDOH 122.1
WMe6Cy1U3K 138.1
WFURR3  96.1
WFURR5  110.1
WFURR6  112.1
WFUROH  126.1
WAR0138 198.1
WFURR6OHOOH 162.1
WAU50DN 159.1
WED5000 131.1
WED5000OOH 162.1
WED5002OOH 134.1
WED4001 116.1
WHD2000 76.1
WHOM1O  188.1
WHOM1ONO2 235.1
WHOM1OOH 206.1
WHOM2O  220.1
WHOM2ONO2 267.1
WHOM2OOH 238.1
IRDK3000 72.1
iBPR    171.0
PC2     171.0
R1bRO2  171.0
C7H9O9  237.0
C7H9O9RO2 237.0
NAPINAO2 230.24
NAPINBO2 230.24
C107O2  199.22
C109O2  199.22
C10H15O2O2 199.00
APINBOO 184.23
C96O2   171.21
APINAO2 185.24
APINBO2 185.24
APINCO2 185.24
C10H17O3O2 217.00
NBPINAO2 230.24
NBPINBO2 230.24
NOPINONE 138.21
CH2OO   46.03
C8BC    110.20
NOPINDO2 169.20
NOPINOO 154.21
BPINAO2 185.24
BPINBO2 185.24
BPINCO2 185.24
NLIMO2  230.24
LIMALAO2 199.22
LIMALBO2 199.22
C923O2  171.21
LIMBOO  184.23
LIMAO2  185.24
LIMBO2  185.24
LIMCO2  185.24
NAPINAOOH 231.25
PINAL   168.23
APINBNO3 215.25
NAPINBOOH 231.25
NAPINBO 214.24
APINANO3 215.25
NC101CO 213.23
APINAOOH 186.25
APINBOH 170.25
APINBOOH 186.25
APINBCO 168.23
APINCOOH 186.25
APINCNO3 215.25
CH3COCH3 58.08
C720O2  143.16
APINCOH 170.25
NBPINAOOH 231.25
BPINBNO3 215.25
NBPINBOOH 231.25
NC91CHO 213.23
BPINANO3 215.25
NOPINAO2 169.20
NOPINBO2 169.20
NOPINCO2 169.20
BPINAOOH 186.25
BPINAOH 170.25
BPINBOOH 186.25
C918CHO 168.23
BPINCOOH 186.25
BPINCNO3 215.25
BPINCOH 170.25
NLIMOOH 231.25
LIMAL   168.23
LIMBNO3 215.25
LIMAOOH 186.25
LIMANO3 215.25
LIMAOH  170.25
LIMBOOH 186.25
LIMBCO  168.23
LIMCOOH 186.25
LIMCNO3 215.25
LIMKET  138.21
LIMCOH  170.25
NC101O2 244.22
C96CO3  199.22
C107OOH 200.23
C108O2  215.22
C107OH  184.23
C10H15O3O2 215.00
C109OOH 200.23
C89CO3  185.20
C920CO3 215.22
C109CO  182.22
C109OH  184.23
PINONIC 184.23
C96OOH  172.22
C96NO3  201.22
C97O2   187.21
C96OH   156.22
NORPINAL 154.21
HCC7CO  126.15
NC91CO3 244.22
NOPINAOOH 170.21
NOPINANO3 199.20
NOPINAO 153.20
C9DC    152.19
NOPINAOH 154.21
NOPINBOOH 170.21
NOPINBNO3 199.20
C915O2  185.20
NOPINBCO 152.19
NOPINBOH 154.21
NOPINCOOH 170.21
NOPINCNO3 199.20
C917O2  185.20
NOPINCOH 154.21
NOPINDOOH 170.21
NOPINDCO 152.19
NOPINDOH 154.21
HCOOH   46.03
C8BCO2  141.19
C918CO3 199.22
LIMALAOOH 200.23
C729CHO 140.18
CH3CO3  75.04
LIMALACO 182.22
LIMALAOH 184.23
LIMALBOOH 200.23
C822CO3 185.20
LIMALBCO 182.22
LIMALBOH 184.23
C923OOH 172.22
C923NO3 201.22
C924O2  187.21
C923OH  156.22
NORLIMAL 154.21
LIMONONIC 184.23
C923CO3 199.22
PINALO2 199.22
NC101OOH 245.23
NC102O2 260.22
PERPINONIC 200.23
C10PAN2 245.23
C920O2  187.21
C85CO3  185.20
C85O2   157.19
CH3COCH2O2 89.07
CH3O2   47.03
C719O2  175.16
C720OOH 144.17
C720NO3 173.17
C720O   127.16
C720OH  128.17
NC91CO3H 245.23
NC91PAN 290.23
C918O2  185.20
C9DCO2  183.18
C619CO  126.11
C8BCOOH 142.20
C8BCNO3 171.19
C89O2   157.19
C8BCCO  124.18
C8BCOH  126.20
C918CO3H 200.23
C918PAN 245.23
NLIMALO2 262.24
LMLKET  170.21
C926O2  201.20
LIMALO2 217.24
C729CO3 171.17
C816CO3 185.20
NORLIMO2 203.21
C816O2  157.19
C923CO3H 200.23
C923PAN 245.23
NLMKAO2 232.21
LMLKAO2 201.20
LMLKBO2 201.20
C817O2  173.19
LMKBOO  186.21
LMKAO2  187.21
LMKBO2  187.21
PINALOOH 200.23
PINALNO3 229.23
C106O2  215.22
PINALOH 184.23
C108OOH 216.23
C108NO3 245.23
C717O2  173.14
C108OH  200.23
C89CO2H 170.21
C89CO3H 186.21
C811CO3 201.20
C89PAN  231.20
C920CO3H 216.23
HOPINONIC 200.23
C920PAN 261.23
C920OOH 188.22
C921O2  203.21
C97OOH  188.22
C98O2   203.21
C97OH   172.22
C85CO3H 186.21
C9PAN2  231.20
C85OOH  158.19
C86O2   173.19
HYPERACET 90.08
ACETOL  74.08
MGLYOX  72.06
CH3CO2H 60.05
CH3CO3H 76.05
PAN     121.05
CH3OOH  48.04
CH3NO3  77.04
CH3O    31.03
CH3O2NO2 93.04
CH3OH   32.04
C719OOH 176.17
C719NO3 205.17
C716OH  158.15
C719OH  160.17
C918OOH 186.21
C918NO3 215.20
C919O2  201.20
C918OH  170.21
C9DCOOH 184.19
C9DCNO3 213.19
C914O2  199.18
C9DCCO  166.17
C9DCOH  168.19
C915OOH 186.21
C915NO3 215.20
C915O   169.20
C88CHO  168.19
C915OH  170.21
C512CO3 159.12
C917OOH 186.21
C917NO3 215.20
C619O2  143.12
C917OH  170.21
NLIMALOOH 263.24
NLIMALOH 247.25
C817CO3 201.20
LIMALOOH 218.25
LIMALNO3 247.25
LIMALOH 202.25
NC826O2 234.18
C626CHO 142.15
C735O2  173.14
C826O2  189.19
C729O2  143.16
C729CO2H 156.18
C729CO3H 172.18
C729PAN 217.18
C822CO2H 170.21
C822CO3H 186.21
C822O2  157.19
C823CO3 201.20
C822PAN 231.20
C924OOH 188.22
C622CHO 128.17
C924CO  170.21
C924OH  172.22
C816CO3H 186.21
C816PAN 231.20
NORLIMOOH 204.22
C817CO  156.18
C816OOH 158.19
C816O   141.19
NLMKAOOH 233.22
LMKBNO3 217.22
LMKAOOH 188.22
LMKANO3 217.22
LMKAOH  172.22
LMKBOOH 188.22
LMKBCO  170.21
CO235C6CHO 156.14
NC102OOH 261.23
NC71O2  218.14
CO13C4CHO 114.10
HCOCH2CHO 72.06
C916O2  201.20
C88CO3  199.18
C88O2   171.17
C512CO2H 144.13
C512CO3H 160.12
C512O2  131.11
C512PAN 205.12
C89OOH  158.19
C89NO3  187.19
C810O2  173.19
C89OH   142.20
C926OOH 202.20
CO25C6CHO 142.15
C926OH  186.21
C817CO3H 202.20
KLIMONONIC 186.21
C817PAN 247.20
C817OOH 174.19
C817NO3 203.19
C818O2  189.19
C817OH  158.19
NC826OOH 235.19
NC826OH 219.19
C626CO3 173.14
C626O2  145.13
C826OOH 190.19
C826NO3 219.19
C826OH  174.19
C729OOH 144.17
C729NO3 173.17
C622CO3 159.16
C925O2  219.21
C816CO  140.18
MACR    70.09
MEKAO2  103.10
LMLKAOOH 202.20
LMLKACO 184.19
LMLKAOH 186.21
LMLKBOOH 202.20
C731CO3 187.17
LMLKBCO 184.19
LMLKBOH 186.21
CO235C6CO3 187.13
CHOC3COCO3 145.09
C106OOH 216.23
C106NO3 245.23
C716O2  173.14
C106OH  200.23
C717OOH 174.15
C717NO3 203.15
C717O   157.14
C717OH  158.15
C811CO3H 202.20
C811O2  173.19
PINIC   186.21
C811PAN 247.20
CHOC3COO2 117.08
C921OOH 204.22
C922O2  219.21
C98OOH  204.22
C98NO3  233.22
C614O2  161.13
C98OH   188.22
C86OOH  174.19
C511O2  131.11
H3C25C6CO3 189.14
H3C25C6O2 161.13
HCOCH2O2 75.04
HCOCH2CO3 103.05
C919OOH 202.20
C919NO3 231.20
C620O2  159.12
C919OH  186.21
C914OOH 200.19
C87CO3  215.18
C914CO  182.17
C914OH  184.19
C916OOH 202.20
C916NO3 231.20
C616O2  159.12
C916OH  186.21
C88CO2H 184.19
C88CO3H 200.19
C88PAN  245.19
C88OOH  172.18
C718CO3 187.17
C88CO   154.16
C88OH   156.18
C512OOH 132.11
C512NO3 161.11
C512O   115.11
C512OH  116.12
C619OOH 144.13
C619OH  128.13
C727CO3 187.17
C626CO2H 158.15
C626CO3H 174.15
C626PAN 219.15
C626OOH 146.14
C626NO3 175.14
C511CHO 128.13
C517CHO 130.14
C735OOH 174.15
C735OH  158.15
NC728O2 222.17
C628O2  161.13
C728O2  177.18
C622O2  131.15
C822OOH 158.19
C822NO3 187.19
C824O2  173.19
C822OH  142.20
C823CO3H 202.20
C823O2  173.19
LIMONIC 186.21
C823PAN 247.20
C925OOH 220.22
C818CO  172.18
C622CO2H 144.17
C622CO3H 160.17
C622PAN 205.17
C819O2  189.19
MACO3   101.08
MGLYOO  88.06
MACRO2  119.10
MACROHO2 119.10
MEKAOOH 104.10
MEKANO3 133.10
MEKAO   87.10
CO2C3CHO 86.09
MEKAOH  88.11
C235C6CO3H 188.13
CO235C6O2 159.12
C7PAN3  233.13
CHOC3COOOH 146.10
CHOC3COPAN 191.10
NC71OOH 219.15
NC71O   202.14
C811OOH 174.19
C811NO3 203.19
C812O2  189.19
C721CHO 156.18
C811OH  158.19
C413COOOH 118.09
C614CO  144.13
H3C25CCO2H 174.15
H3C25CCO3H 190.15
H3C25C6PAN 235.15
H3C25C6OOH 162.14
H3C2C4CO3 147.11
H3C25C5CHO 144.13
H3C25C6OH 146.14
HCOCH2OOH 76.05
GLYOX   58.04
HOCH2CHO 60.05
HCOCH2CO2H 88.06
HCOCH2CO3H 104.06
C3PAN2  149.06
CO123C5CHO 142.11
C513O2  147.11
CO13C3CO2H 116.07
C810OOH 174.19
C810NO3 203.19
C514O2  131.11
C810OH  158.19
CO25C6CO3 173.14
C627O2  145.13
C818OOH 190.19
C818OH  174.19
C727CO3H 188.18
C727O2  159.16
C727PAN 233.18
C511CO3 159.12
C517CO3 161.13
C517O2  133.12
NC728OOH 223.18
NC728OH 207.18
C728OOH 178.18
C728NO3 207.18
C728OH  162.18
C622OOH 132.16
C622NO3 161.16
C622O   115.15
C518CHO 114.14
C622OH  116.16
C823OOH 174.19
C823NO3 203.19
C825O2  189.19
C823CO  156.18
C823OH  158.19
C819OOH 190.19
CO2C4CO3 131.11
MACO2H  86.09
MACO3H  102.09
MPAN    147.09
MACROOH 120.10
MACRNO3 149.10
MACROH  104.10
MACROHOOH 120.10
MACRNB  149.10
C3MDIALOH 102.09
HO1CO3C4O2 119.10
CO2C3CO3 117.08
HOCH2CH2O2 77.06
C731CO2H 172.18
C731CO3H 188.18
C731O2  159.16
C732CO3 203.17
C731PAN 233.18
CO235C6OOH 160.12
CO23C4CO3 145.09
CO235C5CHO 142.11
C4CODIAL 100.07
C716OOH 174.15
NC71CO  201.13
C721CO3 187.17
C721O2  159.16
C922OOH 220.22
C621O2  177.13
BIACETO2 117.08
HOCH2CO3 91.04
C614OOH 162.14
C614NO3 191.14
CO23C4CHO 114.10
C614OH  146.14
C511OOH 132.11
HMVKAO2 119.10
HCOCO   57.03
C620OOH 160.12
C515CHO 142.11
C620OH  144.13
C87CO2H 200.19
C87CO3H 216.19
C87O2   187.17
C87PAN  261.19
CHOC2CO3 117.08
C616OOH 160.12
CO12C4CHO 114.10
C616OH  144.13
C718CO2H 172.18
C718CO3H 188.18
C718O2  159.16
C718PAN 233.18
C513OOH 148.11
HOC2H4CO3 105.07
C513CO  130.10
C513OH  132.11
CO25C6CO2H 158.15
CO25C6CO3H 174.15
C627PAN 219.15
C627OOH 146.14
C627OH  130.14
CO2C4GLYOX 128.13
C820O2  203.17
C727OOH 160.17
CO2C4CHO 100.12
C727CO  142.15
C511CO3H 160.12
C511PAN 205.12
C517CO2H 146.14
C517CO3H 162.14
C517PAN 207.14
C517OOH 134.13
C517NO3 163.13
C517O   117.12
C517OH  118.13
HMVKBCHO 116.12
C628OOH 162.14
CO13C4OH 102.09
C628OH  146.14
C518CO3 145.13
NC623O2 208.15
C520O2  147.11
C623O2  163.15
ISOPDO2 117.12
C824OOH 174.19
C624CHO 128.17
C824CO  156.18
C824OH  158.19
HMML    102.09
MAE     102.09
CONM2CHO 147.09
MACRNCO3 180.09
IBUTALOH 88.11
MACRNBCO3 180.09
CHOMOHCO3 133.08
HOCO3C4OOH 120.10
HO14CO2C4 104.10
HO1CO3CHO 102.09
CO2C3CO3H 118.09
CO2C3PAN 163.09
HYETHO2H 78.07
ETHOHNO3 107.07
HOCH2CH2O 61.06
ETHGLY  62.07
C312COCO3 131.06
CHOCOCH2O2 103.05
NC72O2  232.12
C812OOH 190.19
C813O2  205.19
C812OH  174.19
C721CO3H 188.18
NORPINIC 172.18
C721PAN 233.18
C721OOH 160.17
C722O2  175.16
BIACETOOH 118.09
BIACETOH 102.09
CO23C3CHO 100.07
HOCH2CO2H 76.05
HOCH2CO3H 92.05
PHAN    137.05
H3C2C4CO2H 132.11
H3C2C4CO3H 148.11
H3C2C4PAN 193.11
HMVKAOOH 120.10
HMVKANO3 149.10
CO2H3CHO 102.09
HO12CO3C4 104.10
HCOCO3  89.03
C515CO3 173.10
C515O2  145.09
C87OOH  188.18
C615CO3 173.14
C87CO   170.16
C87OH   172.18
CHOC2CO2H 102.09
CHOC2CO3H 118.09
CHOC2H4O2 89.07
CHOC2PAN 163.09
C718OOH 160.17
C718NO3 189.17
C617CHO 142.15
C718OH  144.17
C514OOH 132.11
C514NO3 161.11
C514O   115.11
C514OH  116.12
C820OOH 204.18
C821O2  173.14
HMVKBCO3 147.11
HMVKBO2 119.10
C518CO2H 130.14
C518CO3H 146.14
C518PAN 191.14
NC623OOH 209.15
NC623OH 193.15
C623OOH 164.16
C623NO3 193.15
C623OH  148.16
ISOPDOOH 118.13
ISOPDNO3 147.13
CISOPC  85.12
HCOC5   100.12
ISOPDOH 102.13
TISOPC  85.12
C624CO3 159.16
C825OOH 190.19
C825CO  172.18
C825OH  174.19
CO2C4CO2H 116.12
CO2C4CO3H 132.11
C5PAN2  177.11
CONM2CO3 178.08
MACRNCO2H 165.10
MACRNCO3H 181.10
MACRNPAN 226.10
IPRHOCO3 119.10
MACRNBCO2H 165.10
MACRNBCO3H 165.10
NOA     119.08
MACRNBPAN 226.10
CHOMOHCO3H 134.09
CHOMOHPAN 179.09
C731OOH 160.17
C731NO3 189.17
C733O2  175.16
C731OH  144.17
C732CO3H 204.18
C732O2  175.16
KLIMONIC 188.18
C732PAN 249.17
CO23C4CO3H 146.10
C5PAN9  191.10
C312COCO3H 132.07
C312COPAN 177.07
ALCOCH2OOH 104.06
NC72OOH 233.13
NC61CO3 248.12
C621OOH 178.14
H1C23C4CHO 130.10
CO2H3CO3 133.08
HCOCO2H 74.04
HCOCO3H 90.03
C515CO3H 174.11
C515PAN 219.11
C515OOH 146.10
CHOC2H4OOH 90.08
