# The order of species in this list should not be changed.
C522CO3H 144.13
C522PAN 189.12
HYPERACET 90.08
ACETOL  74.08
C831OOH 174.19
C831NO3 203.19
C831O   157.19
C831CO  156.18
C928OOH 188.22
C928NO3 217.22
C46CO2H 116.12
C46CO3H 132.11
C46PAN  177.11
HOCO3C4OOH 120.10
CO2C3CO3H 118.09
CO2C3PAN 163.09
MGLYOX  72.06
C930OOH 202.20
C930NO3 231.20
CO123C5CHO 142.11
C3M3CHOOOH 118.13
C3M3CHONO3 147.13
H2M2C3CHO 102.13
C1212OOH 260.28
C1212NO3 305.28
C513CO  130.10
C827OOH 174.19
C136OOH 226.31
C1310OOH 274.31
C1310CO 256.29
C1310NO3 303.31
C136NO3 255.31
CHOC2CO3H 118.09
CHOC2PAN 163.09
C521OOH 148.11
H2M2C3CO3H 134.13
C5PAN11 179.13
C135OOH 302.28
COO2C4CO3H 148.11
COO2C4PAN 193.11
COO2C4OOH 120.10
COO2C3CHO 102.09
COO2C4O 103.10
CHOC2H4OOH 90.08
CHOC2H4O 73.07
C929OOH 204.22
C929CO  186.21
C828CHO 184.19
C6145COOOH 160.12
MPRBNO3OOH 151.12
MPRBNO3O 134.11
MPRBNO3CHO 133.10
TBUTOLOOH 106.12
TBUTOLNO3 135.12
IBUTALOH 88.11
IBUTOLOHB 90.12
C1213OOH 276.28
C1213CO 258.27
C1213NO3 305.28
CH3OOH  48.04
HM22CO2H 118.13
HM22CO3H 134.13
C5PAN15 179.13
C6TONOHOOH 176.12
MPRNO3CO2H 149.10
MPRNO3CO3H 165.10
MPRBNO3PAN 210.10
IPRHOCO2H 104.10
IPRHOCO3H 120.10
C4PAN5  165.10
COO2C3CO3H 134.09
COO2C3PAN 179.08
MOCOCH2OOH 106.08
MOXYCOCHO 88.06
CH3NO3  77.04
CH3O    31.03
IBUTOLBO2H 106.12
C828CO3H 216.19
C828PAN 261.19
CO24C4CHO 114.10
C828OOH 188.18
ALCOMOXOOH 120.06
BCARY   204.35
C145O2  303.33
HO1CO3CHO 102.09
HO1CO3C4O2 119.10
HO14CO2C4 104.10
C3ME3CHOO2 117.12
C1215O2 259.28
C930O2  201.20
BCKBNO3 285.34
C736O2  157.14
C929O2  203.21
BCAO2   253.36
C6145COO2 159.12
BCBNO3  283.36
C152O2  301.36
C135O2  301.27
BCBO2   253.36
BCSOZ   252.35
MPRBNO3O2 150.11
IBUTOLBNO3 135.12
C1311O2 241.30
C1312O2 257.30
HOC2H4CHO 74.08
BCCO2   253.36
C1214O2 243.28
BCSOZO2 301.36
C6TRONOHO2 175.12
CO2C3CHO 86.09
GLYOX   58.04
C1010O2 199.22
CHOCOMOXO2 119.05
C134O2  287.29
C827CHO 170.21
NBCO2   298.35
C139O2  257.30
C1310O2 273.30
C521O2  147.11
NBCALO2 330.35
C143O2  271.33
C1014O2 217.24
C827O2  173.19
C128O2  243.28
C927O2  187.21
C630O2  145.13
C928CO3 215.22
C928O2  187.21
HOCH2CH2O2 77.06
HOCH2CHO 60.05
NBCKO2  300.33
C118O2  245.25
C522CO3 143.12
CHOC2CO3 117.08
BCBOCOO 270.32
C830O2  157.19
C831O2  173.19
CO2C4CO3 131.11
MEKAO2  103.10
C142O2  255.33
BCALO2  285.36
C1213O2 275.28
CHOC2CO2H 102.09
CHOC2H4O2 89.07
C829O2  189.19
H2M2C3CO3 133.12
TBUTOLO2 105.11
BCKBO2  255.33
C144O2  271.33
C141CO  222.32
C117O2  229.25
COO2C4CO3 147.11
COO2C4O2 119.10
HOCH2CO3 91.04
C129O2  241.26
C1211O2 243.28
C1212O2 259.28
C830CO3 185.20
BCKAO2  255.33
C1012O2 201.24
C127O2  227.28
HM22CO3 133.12
IBUTOLBO2 105.11
C1011O2 185.24
NC1313O2 302.30
BCKSZOO 270.32
C141CO2H 252.35
C151O2  301.36
C141OO  270.32
MPRBNO3CO3 164.09
IPRHOCO3 119.10
CH3COCH3 58.08
CH3COCH2O2 89.07
COO2C3CO3 133.08
MOCOCH2O2 105.07
C1313O2 257.30
