# Name       Type group ID   MW      Precursor  coll_fac        mole_diam     surf_tens accomod  mass_dens non-volatile    partitioning  smiles                                         psat_torr     dHvap    Henry    Tref
PNaOKpar     4    3          160.   NaOKpar     687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C=CC2(O)                         0.448E-03      84.5       0.    298.
PNaQuin      4    3          158.   NaQuin      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C=CC2=O                          0.566E-02      70.9       0.    298.
PNaNOOK      4    3          239.   NaNOOK      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(O)C(ON(=O)=O)C2(O)             0.129E-07     135.7       0.    298.
PNaHOOK      4    3          210.   NaHOOK      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(O)C(OO)C2(O)                   0.742E-09     149.5       0.    298.
PNaOOOK      4    3          194.   NaOOOK      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(O)C(O)C2(O)                    0.180E-07     134.9       0.    298.
PNaOOKK      4    3          192.   NaOOKK      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(O)C(=O)C2(O)                   0.191E-06     122.3       0.    298.
PPhODKD      4    3          192.   PhODKD      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          O=CC(=O)c1ccccc1C(O)C=O                        0.366E-05     107.7       0.    298.
PPhDKOD      4    3          192.   PhDKOD      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          O=Cc1ccccc1C(=O)C(O)C=O                        0.438E-05     106.6       0.    298.
PPhKDKD      4    3          190.   PhKDKD      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          O=CC(=O)c1ccccc1C(=O)C=O                       0.551E-04      93.2       0.    298.
PPhOKHEst    4    3          224.   PhOKHEst    687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(OO)OC(=O)C2(O)                 0.132E-09     155.6       0.    298.
PPhOKAnhy    4    3          206.   PhOKAnhy    687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(=O)OC(=O)C2(O)                 0.174E-08     141.5       0.    298.
PPhOKOEst    4    3          208.   PhOKOEst    687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(O)OC(=O)C2(O)                  0.274E-08     141.3       0.    298.
PPhPOKA      4    3          285.   PhPOKA      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          C(=O)(O)C(O)c1ccccc1C(=O)C(=O)(OON(=O)=O)      0.212E-09     154.8       0.    298.
PPhGOKA      4    3          240.   PhGOKA      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          C(=O)(O)C(O)c1ccccc1C(=O)C(=O)(OO)             0.137E-10     168.7       0.    298.
PPhAOKA      4    3          224.   PhAOKA      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          C(=O)(O)C(O)c1ccccc1C(=O)C(=O)(O)              0.145E-11     179.5       0.    298.
PPhPOKD      4    3          269.   PhPOKD      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          O=CC(=O)c1ccccc1C(O)C(=O)(OON(=O)=O)           0.253E-06     120.2       0.    298.
PPhGOKD      4    3          224.   PhGOKD      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          O=CC(=O)c1ccccc1C(O)C(=O)(OO)                  0.262E-07     131.8       0.    298.
PPhAOKD      4    3          208.   PhAOKD      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          O=CC(=O)c1ccccc1C(O)C(=O)(O)                   0.414E-08     140.5       0.    298.
PPhDKA       4    3          178.   PhDKA       687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          O=Cc1ccccc1C(=O)C(=O)(O)                       0.473E-05     106.2       0.    298.
PPhKDD       4    3          162.   PhKDD       687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          O=CC(=O)c1ccccc1C=O                            0.128E-02      79.2       0.    298.
PHPhOA       4    3          184.   HPhOA       687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1(OO)ccccc1C(O)C(=O)(O)                       0.101E-08     148.8       0.    298.
POPhOA       4    3          168.   OPhOA       687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1(O)ccccc1C(O)C(=O)(O)                        0.122E-06     126.1       0.    298.
PVOPhOA      4    3          213.   VOPhOA      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1(O)c(N(=O)=O)cccc1C(O)C(=O)(O)               0.198E-09     155.3       0.    298.
PPhOP        4    3          213.   PhOP        687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1ccccc1C(O)C(=O)(OON(=O)=O)                   0.438E-03      87.3       0.    298.
PPhOG        4    3          168.   PhOG        687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1ccccc1C(O)C(=O)(OO)                          0.889E-04      95.9       0.    298.
PPhOA        4    3          152.   PhOA        687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1ccccc1C(O)C(=O)(O)                           0.182E-04     103.1       0.    298.
PPhD         4    3          106.   PhD         687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1ccccc1C=O                                    0.144E+01      49.7       0.    298.
PPhKKAnhy    4    3          204.   PhKKAnhy    687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(=O)OC(=O)C2=O                  0.786E-07     121.8       0.    298.
PHPhKA       4    3          182.   HPhKA       687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1(OO)ccccc1C(=O)C(=O)(O)                      0.313E-07     130.9       0.    298.
POPhKA       4    3          166.   OPhKA       687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1(O)ccccc1C(=O)C(=O)(O)                       0.267E-05     109.8       0.    298.
PVOPhKA      4    3          211.   VOPhKA      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1(O)c(N(=O)=O)cccc1C(=O)C(=O)(O)              0.712E-08     136.7       0.    298.
PPhKP        4    3          211.   PhKP        687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1ccccc1C(=O)C(=O)(OON(=O)=O)                  0.338E-02      75.6       0.    298.
PPhKG        4    3          166.   PhKG        687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1ccccc1C(=O)C(=O)(OO)                         0.149E-02      80.4       0.    298.
PPhKA        4    3          150.   PhKA        687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1ccccc1C(=O)C(=O)(O)                          0.404E-03      86.4       0.    298.
PHPh         4    3          110.   HPh         687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1ccccc1(OO)                                   0.530E-01      66.0       0.    298.
POPh         4    3           94.   OPh         687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1ccccc1(O)                                    0.153E+01      50.9       0.    298.
PVOPh        4    3          139.   VOPh        687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c1cccc(N(=O)=O)c1(O)                           0.805E-02      72.1       0.    298.
PPhKAKA      4    3          222.   PhKAKA      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          C(=O)(O)C(=O)c1ccccc1C(=O)C(=O)(O)             0.631E-10     160.0       0.    298.
PPhDKKD      4    3          190.   PhDKKD      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          O=Cc1ccccc1C(=O)C(=O)C=O                       0.429E-04      94.4       0.    298.
PPhKOHEst    4    3          224.   PhKOHEst    687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(O)C(OO)OC2=O                   0.132E-09     155.6       0.    298.
PPhKOAnhy    4    3          206.   PhKOAnhy    687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(O)C(=O)OC2=O                   0.174E-08     141.5       0.    298.
PPhKOOEst    4    3          208.   PhKOOEst    687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          c12ccccc1C(=O)C(O)C(O)OC2=O                    0.274E-08     141.3       0.    298.
PPhPKOA      4    3          285.   PhPKOA      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          C(=O)(O)c1ccccc1C(=O)C(O)C(=O)(OON(=O)=O)      0.212E-09     154.8       0.    298.
PPhGKOA      4    3          240.   PhGKOA      687.d0          8.39d0          30.D-03   0.7    1.30D3      0           BOTH          C(=O)(O)c1ccccc1C(=O)C(O)C(=O)(OO)             0.137E-10     168.7       0.    298.
