#Name	Type	group ID	MW	Precursor	coll_fac	mole_diam	surf_tens	accomod	mass_dens	non-volatile	partitioning	smiles	psat_torr	dHvap	Henry	Tref	irr_name	 kirreversible
PBCLKBOC	4	2	254.32	BCLKBOC	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.68E-06	9.95E+01	0.	0.	--	0.
PC136OOH	4	2	226.31	C136OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.18E-06	1.01E+02	0.	0.	--	0.
PC136NO3	4	2	255.31	C136NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.67E-05	9.28E+01	0.	0.	--	0.
PC136OH	4	2	210.31	C136OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.99E-05	9.35E+01	0.	0.	--	0.
PCH3OOH	4	2	48.04	CH3OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.84E+01	4.47E+01	0.	0.	--	0.
PCH3NO3	4	2	77.04	CH3NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.02E+02	3.17E+01	0.	0.	--	0.
PCH3O2NO2	4	2	93.04	CH3O2NO2	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	8.15E+01	3.59E+01	0.	0.	--	0.
PCH3OH	4	2	32.04	CH3OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.11E+02	4.22E+01	0.	0.	--	0.
PBCALCOOH	4	2	268.35	BCALCOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.84E-09	1.20E+02	0.	0.	--	0.
PC141CO	4	2	222.32	C141CO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.29E-04	8.59E+01	0.	0.	--	0.
PBCALCCO	4	2	250.33	BCALCCO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.45E-06	1.01E+02	0.	0.	--	0.
PBCALCOH	4	2	252.35	BCALCOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.15E-08	1.13E+02	0.	0.	--	0.
PC141OOH	4	2	240.34	C141OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.12E-07	1.06E+02	0.	0.	--	0.
PC141NO3	4	2	269.34	C141NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.29E-06	9.81E+01	0.	0.	--	0.
PC141OH	4	2	224.34	C141OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.92E-06	9.87E+01	0.	0.	--	0.
PC141CO3H	4	2	268.35	C141CO3H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.26E-07	1.10E+02	0.	0.	--	0.
PC141PAN	4	2	313.35	C141PAN	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.60E-07	1.06E+02	0.	0.	--	0.
PNBCALOOH	4	2	331.36	NBCALOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.80E-12	1.44E+02	0.	0.	--	0.
PNBCALOH	4	2	315.36	NBCALOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.59E-11	1.36E+02	0.	0.	--	0.
PBCALOOH	4	2	286.36	BCALOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.33E-12	1.43E+02	0.	0.	--	0.
PBCALNO3	4	2	315.36	BCALNO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.59E-11	1.36E+02	0.	0.	--	0.
PBCALOH	4	2	270.36	BCALOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	6.64E-11	1.34E+02	0.	0.	--	0.
PBCSOZOOH	4	2	302.36	BCSOZOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.54E-10	1.29E+02	0.	0.	--	0.
PBCSOZNO3	4	2	331.36	BCSOZNO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	8.94E-10	1.23E+02	0.	0.	--	0.
PBCSOZOH	4	2	286.36	BCSOZOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.63E-09	1.21E+02	0.	0.	--	0.
PC151OOH	4	2	302.36	C151OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.64E-15	1.63E+02	0.	0.	--	0.
PC151NO3	4	2	331.36	C151NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.14E-14	1.56E+02	0.	0.	--	0.
PC151OH	4	2	286.36	C151OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	7.88E-14	1.55E+02	0.	0.	--	0.
PC152OOH	4	2	302.36	C152OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.19E-12	1.45E+02	0.	0.	--	0.
PC152NO3	4	2	331.36	C152NO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.12E-11	1.38E+02	0.	0.	--	0.
PC152OH	4	2	286.36	C152OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.12E-11	1.36E+02	0.	0.	--	0.
PC116CHO	4	2	210.27	C116CHO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	9.02E-05	8.71E+01	0.	0.	--	0.
PC131CO	4	2	224.30	C131CO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.83E-05	9.23E+01	0.	0.	--	0.
PC146OOH	4	2	270.32	C146OOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.44E-10	1.27E+02	0.	0.	--	0.
PHCOCH2CHO	4	2	72.06	HCOCH2CHO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.59E+01	3.74E+01	0.	0.	--	0.
PC146CO	4	2	252.31	C146CO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.90E-07	1.07E+02	0.	0.	--	0.
PC146OH	4	2	254.32	C146OH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	6.05E-09	1.19E+02	0.	0.	--	0.
PC131CO3H	4	2	270.32	C131CO3H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.47E-08	1.17E+02	0.	0.	--	0.
PC131PAN	4	2	315.32	C131PAN	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.34E-08	1.13E+02	0.	0.	--	0.
